Source,Target,year_of_publication,Weight
Alexander de Villa Dei,Richardus Pafraet,1488,4
"Guaciis, Johannes de",IT,1481,4
"Guaciis, Johannes de",Paulus de Butzbach,1481,4
"Guaciis, Johannes de",[Mantua,1481,4
"Gregorius IX, Pont. Max. (formerly Ugolino, Count of Segni)",3164603,1489,4
"Gregorius IX, Pont. Max. (formerly Ugolino, Count of Segni)",45.43,1489,4
"Gregorius IX, Pont. Max. (formerly Ugolino, Count of Segni)",Venice,1489,4
Alexander de Villa Dei,IT,1486,4
Aesopus,IT,1480,4
"Kendale, John, Commissary",2643743,1480,4
"Garlandia, Johannes de",about 1485],1485,4
"Bonaventura, S",Antoine Caillaut,1485,4
"Garlandia, Johannes de",DE,1485,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",12.49,1482,4
Justinianus,Venice,1488,4
Justinianus,45.76,1482,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",2789529,1480,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",about 1484],1484,4
Bartolus de Saxoferrato,Venice,1482,4
"Versoris, Johannes",DE,1487,4
Bartolus de Saxoferrato,"Andreas Torresanus, de Asula",1489,4
Justinianus,FR,1482,4
Justinianus,3164603,1488,4
Justinianus,Venice,1485,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Audenarde,1480,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",48.49,1483,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",49.32,1481,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",9.21,1483,4
Bartolus de Saxoferrato,3164603,1482,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",Hermann Kästlin,1480,4
"Tartagnus, Alexander",1488,1488,4
"Tartagnus, Alexander",9.19,1483,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Reutlingen,1483,4
"Tartagnus, Alexander",45.43,1489,4
"Scribanarius, Marcus",IT,1485,4
"Tartagnus, Alexander",6542283,1483,4
"Maximilian I, Imperator",2874225,1489,4
"Maximilian I, Imperator",DE,1489,4
"Boccaccio, Giovanni",12.34,1481,4
"Maximilian I, Imperator",49.99,1489,4
"Camerino, Bartholomaeus de, Commissary",49.4541666666667,1484,4
Bernardus Claravallensis,[Rome,1485,4
"Camerino, Bartholomaeus de, Commissary",2861650,1484,4
"Garlandia, Johannes de",6.96,1487,4
"Andreae, Johannes",[Leipzig,1489,4
"Folz, Hans",Hans Folz,1480,4
"Versoris, Johannes",DE,1489,4
"Andreae, Johannes",not before 1489],1489,4
"Peraudi, Raimundus, commissary",[Speyer,1489,4
"Johannes de Cardona, commissary",10.6872222222222,1481,4
"Peraudi, Raimundus, commissary",53.8688888888889,1488,4
"Ernst, Herzog von Sachsen, Erzbischof von Magdeburg",2879139,1486,4
Baptista Mantuanus,11.35,1489,4
"Peraudi, Raimundus, commissary",2875601,1488,4
"Peraudi, Raimundus, commissary",2886242,1487,4
Alexander de Villa Dei,FR,1489,4
"Emericus de Kemel, Commissary",8.27,1482,4
"Boccaccio, Giovanni",3164603,1481,4
"Lucas de Tollentis, Episcopus Sibinicensis",Arnold Ther Hoernen,1480,4
"Cicero, Marcus Tullius",12.34,1482,4
"Peraudi, Raimundus, commissary",51.34,1489,4
"Fliscus, Hector",12.49,1485,4
"Perottus, Nicolaus",about 1485],1485,4
"Emericus de Kemel, Commissary",[Mainz,1482,4
"Fliscus, Hector",3169071,1485,4
"Cicero, Marcus Tullius",12.34,1488,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Passau,1486,4
Alexander de Villa Dei,about 1485],1485,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",after 13 May 1488],1488,4
"Folz, Hans",1480,1480,4
Albertus Magnus,about 1488],1488,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",13.46,1486,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",12.49,1486,4
"Herolt, Johannes",FR,1489,4
Thomas Aquinas,about 1488],1488,4
"Herolt, Johannes",1489,1489,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",48.57,1486,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",41.89,1486,4
Aesopus,about 1480],1480,4
Aesopus,IT,1482,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",IT,1486,4
Aesopus,45.46,1480,4
Aesopus,9.19,1480,4
"Donatus, Aelius","Conrad Winters, de Homborch",1481,4
Bartolus de Saxoferrato,3164603,1480,4
Bartolus de Saxoferrato,Venice,1480,4
"Garlandia, Johannes de",50.94,1487,4
Justinianus,45.43,1488,4
Thomas Aquinas,IT,1481,4
"Guaciis, Johannes de",45.16,1481,4
"Guaciis, Johannes de",10.8,1481,4
Thomas Aquinas,3164603,1486,4
"Bonaventura, S",6455259,1485,4
Bartolus de Saxoferrato,12.34,1482,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",41.89,1482,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",ES,1486,4
Bartolus de Saxoferrato,45.43,1482,4
Thomas Aquinas,45.43,1486,4
Thomas Aquinas,Venice,1486,4
Bartolus de Saxoferrato,IT,1482,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",Johann Otmar,1481,4
"Gregorius IX, Pont. Max. (formerly Ugolino, Count of Segni)",IT,1489,4
"Gregorius IX, Pont. Max. (formerly Ugolino, Count of Segni)",12.34,1489,4
"Bonaventura, S",FR,1485,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",12.37,1488,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",6558157,1483,4
"Tartagnus, Alexander",12.34,1489,4
Maximilian I,[Mainz,1486,4
"Kendale, John, Commissary",-0.13,1480,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Rome,1489,4
"Kendale, John, Commissary",[London,1480,4
"Werdenberg, Rudolfus, Graf von, commissary",Hermann Kästlin,1481,4
"Manfredis, Hieronymus de",after 2 Jan. 1481],1481,4
Guido de Monte Rochen,FR,1487,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",6556451,1485,4
"Nider, Johannes",DE,1480,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",1484],1484,4
"Boccaccio, Giovanni",45.43,1481,4
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Rome,1481,4
"Ubaldis, Baldus de",6542283,1489,4
Bernardus Claravallensis,3169071,1485,4
"Tartagnus, Alexander",3164603,1489,4
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",Georg Reyser,1482,4
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",9.95111111111111,1482,4
"Bonaventura, S",[Paris,1485,4
